English,Bulgarian
laila,Лайла
nostalgia,носталгия
consensus,консенсус
accomplishments,постижения
ver,ver
stalls,сергии
introductions,въведения
locally,локално
unaccounted,неотчетени
districts,области
Raleigh,Роли
Canadians,канадци
deodorant,дезодорант
listeners,слушатели
payload,полезен товар
hesitated,се поколеба
honky,хонки
processor,процесор
pah,ах
ripple,пулсация
Sisko,Сиско
loudspeaker,високоговорител
repercussions,последици
informants,информатори
notebooks,тетрадки
crumb,троха
hubbard,Хъбард
cordon,кордон
modify,променям
Wessex,Уесекс
cloning,клониране
oa,оа
scrutiny,проверка
diabolical,дяволски
emissary,емисар
mounting,монтаж
McNally,Макнали
pubic,пубис
Kahn,Кан
yung,юнг
conditioned,обусловени
lim,лим
Cyprus,Кипър
decorator,декоратор
HK,HK
Chekov,Чеков
hotline,гореща линия
saxophone,саксофон
Juno,Юнона
ridicule,подигравка
launcher,стартер
Romano,Романо
Rebekah,Ребека
blondes,блондинки
slicing,нарязване
crossbow,арбалет
famished,гладен
scriptures,писания
Lyman,Лиман
claustrophobic,клаустрофобичен
urinating,уриниране
oats,овесени ядки
impaired,увредена
Wichita,Уичита
Deke,Дийк
Thorpe,Торп
lush,буйни
Kyoko,Киоко
medicinal,лечебен
Bennie,Бени
imam,имам
bonny,Бони
rejecting,отхвърляне
dia,диам
Toledo,Толедо
grooming,подстригване
dubious,съмнително
outward,навън
brighten,озаряват
volumes,обеми
mas,мас
gloat,злорадствам
discreetly,дискретно
diagram,диаграма
companionship,другарство
twenties,двадесетте години
exemplary,примерен
measles,дребна шарка
ninjas,нинджи
blurred,замъглено
panty,бикини
chong,Чонг
labored,труден
remainder,остатък
schooling,училищно обучение
Tandy,Тенди
childs,деца
narc,нарц
Belgrade,Белград
gladiators,гладиатори
quail,пъдпъдъци
Benito,Бенито
Ellison,Елисън
paging,страниране
Saroyan,Сароян
fixer,фиксатор
latex,латекс
Garza,Гарза
revelations,откровения
stepdad,втори баща
universes,вселени
ofthis,от това
Killian,Килиан
mondays,понеделник
Caprica,Каприка
thermometer,термометър
Hattie,Хати
pioneers,пионери
enormously,изключително много
Aron,Арон
purposely,нарочно
Cali,Кали
Kendrick,Кендрик
carotid,каротидна
Naruto,Наруто
conceited,тщеславен
newbie,новак
arming,въоръжаване
petting,галене
Armando,Армандо
NZT,новозеландски тона
imposter,самозванец
risotto,ризото
uplink,връзка нагоре
nephews,племенници
pastures,пасища
Kincaid,Кинкейд
retrieval,извличане
Guatemala,Гватемала
enslaved,поробени
Janus,Янус
Hansel,Хензел
behaves,се държи
Vulcans,Вулканци
evils,злини
Westen,Westen
combing,разресване
prodigal,блудник
hellhole,адска дупка
advancement,напредък
flex,flex
minors,непълнолетни
explicit,изрично
fatter,по-дебел
mundane,светски
torched,подпален
loch,езеро
remnants,остатъци
analogy,аналогия
dreaded,ужасен
attain,постигам
furs,кожи
collapses,колабира
Ives,Айвс
there`s,има
citadel,цитадела
coordinator,координатор
propeller,витло
praises,хвали
rampage,вилнеене
ascend,изкачвам се
pang,панг
beetles,бръмбари
medics,медици
replay,повторение
meek,кротък
Messer,Месер
keel,кил
inseparable,неразделни
ordinarily,обикновено
shui,шуй
veterinarian,ветеринарен лекар
char,въглен
simmer,оставете да къкри
canvass,платно
corral,ограда
dodged,избягваше
pansy,теменуга
nobleman,благородник
favored,облагодетелстван
inventing,изобретяване
charisma,харизма
hex,шестнадесетичен
histories,истории
gauntlet,ръкавица
conspicuous,забележим
wook,уук
heroism,героизъм
grammy,Грами
misled,подведени
perk,привилегия
racetrack,състезателна писта
bleeping,писукане
kool,kool
Gilda,Джилда
Hewes,Хюс
rapists,изнасилвачи
narrows,стеснява се
Carole,Карол
namely,именно
variations,вариации
historically,исторически
resides,пребивава
satanic,сатанински
ordinance,наредба
astonished,удивен
ell,ell
persecuted,преследван
scrapes,ожулвания
limitless,неограничен
prima,прима
Octavia,Октавия
Cecile,Сесил
alloy,сплав
vibes,вибрации
sentiments,настроения
Connelly,Конъли
provocation,провокация
lashes,мигли
telepathic,телепатичен
judo,джудо
emissions,емисии
festivities,тържества
Eastwood,Истууд
sibling,брат или сестра
you´ll,ти ще
asparagus,аспержи
bestowed,подарен
unconditional,безусловен
electron,електрон
evade,избягвам
Frederic,Фредерик
Ferengi,Ференги
vegetation,растителност
penetrating,проникваща
priced,цена
nutrition,хранене
collars,яки
elm,бряст
shiver,треперя
heartfelt,сърдечно
Conlon,Конлон
wrinkled,набръчкана
chappie,момче
progressing,напредва
indigestion,лошо храносмилане
qualifies,квалифицира
authorised,упълномощени
emphasis,акцент
rejects,отхвърля
nutcase,лудница
Elmer,Елмър
bikers,мотористи
snip,отрязък
Pasadena,Пасадена
urging,настоятелно
nav,нав
invoke,извиквам
Frenchy,френски
vests,жилетки
Kiev,Киев
serene,спокоен
crutches,патерици
doggone,проклета
enduring,издръжлив
mami,мами
restrained,сдържан
retract,прибиране
dimes,стотинки
Pompey,Помпей
burp,оригвам се
slop,помия
striped,раирана
celery,целина
Devereaux,Деверо
frivolous,несериозен
coloring,оцветяване
Letty,Лети
Castiel,Кастиел
sash,крило
mani,много
Palestinian,палестински
spotless,неопетнен
lp,л.п
warped,изкривена
exchanging,размяна
ancestral,родовия
scarier,по-страшен
Lennie,Лени
cheapest,най-евтиният
marin,марин
latino,латино
Danes,датчани
scot,шотландец
evacuating,евакуиране
conquering,завладяване
Adi,Ади
sensory,сетивен
prudence,благоразумие
tickling,гъделичкане
dona,дона
thinker,мислител
lux,лукс
Tania,Таня
masquerade,бал с маски
milking,доене
nucleus,ядро
Sheba,Шеба
Bartholomew,Вартоломей
ifwe,ако ние
Cherokee,чероки
relating,отнасящи се
contemplate,съзерцавам
prescriptions,предписания
Rashid,Рашид
Skeeter,Скийтър
vaginal,вагинален
flips,обръща
Tuco,Туко
synchro,синхрон
whips,камшици
kinder,по-добро
Tok'ra,Ток'ра
exceeded,превишен
yarn,прежда
bland,безвкусен
Clementine,Клементин
jefe,Джефе
desserts,десерти
scented,ароматизиран
diverted,отклонени
collide,сблъсквам се
Lian,Лиан
ammonia,амоняк
cartels,картели
samba,самба
bridegroom,младоженец
willed,пожелал
blackouts,затъмнения
sp,sp
Seol,Seol
chimps,шимпанзета
conqueror,завоевател
distributor,дистрибутор
brides,булки
Elektra,Електра
Fatima,Фатима
seriousness,сериозност
downloading,изтегляне
prying,любопитни
she'll,тя ще
har,хар
reproach,укор
curator,куратор
scourge,бич
breeds,породи
plateau,плато
massages,масажи
señora,сеньора
dud,глупак
McNamara,Макнамара
inhabited,обитаван
inserted,вмъкнат
suppliers,доставчици
sharpen,изострям
goner,изчезнал
Roderick,Родерик
fai,фай
herds,стада
daisies,маргаритки
compression,компресия
Mathilde,Матилд
Hikaru,Хикару
honours,почести
Yusuf,Юсуф
hoods,качулки
colonists,колонисти
Archibald,Арчибалд
vou,вие
embark,качвам се
alderman,съветник
Nestor,Нестор
spurs,шпори
universities,университети
exploits,подвизи
tourism,туризъм
Kobayashi,Кобаяши
characteristic,Характеристика
Zod,Зод
presiding,председателстващ
Howe,Хау
blueprint,чертеж
nightgown,нощница
pretext,претекст
Salud,Здравейте
startling,стряскащ
kickin,ритане
hedgehog,таралеж
tumors,тумори
hos,hos
binary,двоичен
Yamamoto,Ямамото
Forman,За мъж
heirs,наследници
liner,подложка
reinforce,подсилвам
geological,геоложки
brooding,мрачни
refreshments,освежителни напитки
modifications,модификации
quoted,цитиран
banter,закачки
horizons,хоризонти
airs,излъчване
cocked,вдигнат
aman,човек
"didn""t",не
massacred,избити
ruddy,румен
unofficial,неофициален
chatty,бъбрив
betrothed,сгоден
cuter,по-сладък
degrading,унизително
Rapunzel,Рапунцел
nachos,начос
humankind,човечеството
dunne,Дън
stairway,стълбище
shootout,престрелка
Kingston,Кингстън
abiding,спазване
extinguisher,пожарогасител
prized,награден
exceed,надхвърлям
airway,дихателни пътища
reconnect,свържете се отново
celebrations,тържества
tingling,изтръпване
soames,соумс
shamed,засрамен
SG-1,SG-1
reconstruct,реконструирам
fallin,падане
fickle,непостоянен
leviathan,левиатан
Django,Джанго
Nucky,Наки
cannibals,човекоядци
Priscilla,Присила
yelping,писък
septic,септичен
eee,еее
Bohannon,Боханън
patronize,покровителствам
hereditary,наследствено
abode,жилище
danke,danke
Emilia,Емилия
Duval,Дювал
lard,свинска мас
Hamish,Хамиш
shrinks,се свива
Okinawa,Окинава
overslept,проспал
Henrietta,Хенриета
pebble,камъче
raiding,набези
reconciliation,помирение
dungeons,подземия
manicure,маникюр
miraculously,по чудо
falsely,фалшиво
anarchist,анархист
uni,уни
Juarez,Хуарес
Dmitri,Дмитрий
sidelines,странични линии
uncool,не готино
fats,мазнини
Drummond,Дръмонд
sweety,сладурче
hammers,чукове
Daedalus,Дедал
sprout,кълнове
psychiatry,психиатрия
theaters,театри
burr,брус
esta,еста
coronary,коронарен
caterer,кетъринг
Carlotta,Карлота
juices,сокове
lotto,лото
penises,пениси
fixes,поправки
defying,предизвикателство
reside,пребивават
verde,зелено
shroud,плащеница
inning,ининг
everytime,всеки път
Bergman,Бергман
Alamo,Аламо
fluff,пух
abduct,отвличам
wholesome,здравословен
supporter,поддръжник
Kanan,Канан
Croft,Крофт
variation,вариация
drilled,пробити
diligence,старание
granddaddy,дядо
involuntary,неволно
Robb,Роб
garbled,изкривено
disruption,прекъсване
seismic,сеизмични
tout,рекламирам
docked,закачен
glorified,прославен
twists,обрати
commitments,ангажименти
dahlia,далия
internally,вътрешно
duff,дъф
beige,бежово
vertebrae,прешлени
vibrant,жизнена
Sheng,Шенг
magnets,магнити
Tintin,Тинтин
Assad,Асад
Hardison,Хардисън
Barnett,Барнет
Xiang,Сян
nitro,нитро
Topher,Тофер
larceny,кражба
Presley,Пресли
attentive,внимателен
lookit,виж го
operators,оператори
Zion,Сион
indispensable,незаменим
Lynne,Лин
Doolittle,Дулитъл
Kel,Кел
memento,спомен
C.O.,C.O.
provocative,провокативен
migration,миграция
porky,свински
manila,Манила
Elisa,Елиза
gadgets,джаджи
outlook,перспектива
locating,локализиране
rotating,въртящ се
Blackadder,черна гадюка
gauze,марля
cuddly,пухкав
barbershop,бръснарница
ironing,гладене
Poppins,Попинз
Zak,Зак
creamy,кремообразен
cleric,духовник
stumbling,препъване
Aristotle,Аристотел
glare,отблясъци
immensely,извънредно
rainbows,дъги
chunky,буци
wesen,wesen
Dobby,Доби
casts,отливки
bup,буп
metre,метър
unsuccessful,неуспешен
lobos,лобос
clocked,с часовник
rumored,слухове
physicists,физици
presumptuous,самонадеян
McGuire,Макгуайър
ehh,ехх
Cardiff,Кардиф
amor,любов
colourful,цветен
diem,дием
chandelier,полилей
bickering,пререкания
pathological,патологични
Alexa,Алекса
ridin,ridin
perky,нахален
forwarding,препращане
Montague,Монтегю
evasion,укриване
Muller,Мюлер
Kern,Керн
Geordi,Джорди
Chakotay,Чакотай
craven,малодушен
withheld,удържан
Gonzales,Гонзалес
hither,тук
nevermind,Няма значение
depraved,развратен
quitter,отказващ се
RJ,RJ
fluttering,пърхащи
floorboards,подови дъски
Livia,Ливия
hustling,блъскане
beeper,звуков сигнал
anonymity,анонимност
Markus,Маркъс
Gould,Гулд
chases,гонитби
Moreno,Морено
wharf,кей
therapeutic,терапевтичен
unwind,отпуснете се
Tian,Тиан
dwarfs,джуджета
mannered,възпитан
deadbeat,мъртвец
Moreau,Моро
lieutenants,лейтенанти
executions,екзекуции
defeats,поражения
Addy,Ади
relocate,премествам се
Hathaway,Хатауей
Africans,африканци
Finnish,финландски
chitchat,бърборене
hombre,hombre
darhk,darhk
commute,Заменям
cloaking,прикриване
mimic,мимически
asteroids,астероиди
reformed,реформиран
devastation,опустошение
offerings,предложения
ordained,ръкоположен
Nia,Ния
preserving,запазване
dividing,разделяне
pressured,под натиск
unlocks,отключва
Dade,Дейд
desolate,запустял
Clair,Клеър
Rochelle,Рошел
totem,тотем
defied,предизвикал
autopilot,автопилот
ambassadors,посланици
jest,шега
raiser,рейзър
Syracuse,Сиракуза
mutated,мутирал
Boog,Буг
chaser,преследвач
malfunctioning,неправилно функциониране
cubic,кубичен
attire,облекло
renard,Ренард
sparring,спаринг
deficit,дефицит
plastered,измазана
banners,банери
aeroplane,самолет
synced,синхронизирано
clogged,задръстен
entourage,антураж
nugget,самородно късче
optic,оптика
germ,зародиш
shotguns,ловни пушки
Genevieve,Женевиев
safeguard,запазване
resigning,подаване на оставка
Voss,Вос
Draco,Драко
isa,е
Kuwait,Кувейт
br,бр
Arabian,арабски
elixir,еликсир
lifetimes,животи
neutron,неутрон
Unser,Премахване на потребителя
shawl,шал
dials,циферблати
EMP,EMP
SD-6,SD-6
defining,определяне
barging,баржиране
schoolboy,ученик
rollers,ролки
kiddie,хлапе
chink,цепнатина
ahjumma,ahjumma
Lucie,Луси
fleece,руно
occurring,срещащ
stinger,жило
conjure,измислям
withhold,задържам
cheered,развесели
breakers,прекъсвачи
Cavanaugh,Кавано
sloth,ленивец
ps,пс
Wolfgang,Волфганг
FM,FM
unwise,неразумно
unattended,без надзор
delinquent,делинквент
seduction,съблазняване
obsessing,обсебващ
armpit,подмишница
tiara,тиара
jacking,повдигане
detest,ненавиждам
fam,фам
lupus,лупус
Elif,Елиф
prepares,подготвя
wholesale,търговия на едро
passionately,страстно
dow,dow
chameleon,хамелеон
compulsion,принуда
uncharted,неизследван
Wynn,Уин
Downey,Дауни
Scanlon,Сканлон
maru,мару
editors,редактори
scavenger,чистач
bewitched,омагьосан
shovels,лопати
orthodox,православен
revived,съживени
cosmetic,козметични
enzyme,ензим
Bobbi,Боби
woong,woong
infidelity,изневяра
doubling,удвояване
financials,финанси
ditto,същото
splashes,пръски
ffff00,ffff00
snug,удобно
concession,концесия
waller,стена
unloaded,разтоварени
fished,лови риба
calculation,изчисление
dialysis,диализа
Buick,Буик
raffle,томбола
pia,пиа
disoriented,дезориентиран
consistently,последователно
cubicle,кабина
sickbay,болнично отделение
Ieast,поне
condone,извинявам се
Himalayas,Хималаите
doctrine,доктрина
nostalgic,носталгичен
bipolar,биполярно
enquiry,разследване
imposing,внушителен
hearsay,слухове
don'tyou,нали
lawfully,законно
Johnston,Джонстън
metabolism,метаболизъм
sweats,изпотяване
accommodations,настаняване
bazooka,базука
mushy,каша
os,операционна система
developer,разработчик
trademark,търговска марка
misconduct,неправомерно поведение
Pyle,Пайл
margaritas,маргарити
piccolo,пиколо
Misa,Миса
conserve,консервирам
freckles,лунички
caged,затворен в клетка
nab,наб
chem,хим
banning,забрана
tinkle,звънене
Kelsey,Келси
folds,гънки
astronomers,астрономи
Lestrade,Лестрейд
pooped,акаше
undetected,неоткрит
slang,жаргон
justification,обосновка
handcuff,белезник
influences,влияния
lira,лира
Giulia,Джулия
checkup,провери
Guan,Гуан
Aram,Арам
plagued,измъчван
surrounds,заобикаля
tended,поддържан
Bowen,Боуен
Sosa,Соса
boutique,бутик
sayonara,сайонара
insurgents,въстаници
hoshi,Хоши
movers,хамали
middleman,посредник
plunged,потопен
bridesmaids,шаферки
condescending,снизходителен
Jiro,Джиро
Rimmer,Риммер
bona,бона
complains,оплаква се
erect,изправен
alaikum,алейкум
combinations,комбинации
Gohan,Гохан
whence,откъде
dyin,умирам
kerosene,керосин
realms,области
deity,божество
mower,косачка
revised,ревизиран
observant,наблюдателен
scat,скат
"we""re",бяха
demi,деми
prune,подрязвам
pusher,тласкач
inquest,разследване
Gustavo,Густаво
Guo,Гуо
nesting,гнездене
contemplating,съзерцавам
mapping,картографиране
dar,дар
brood,пило
fricking,шибане
sheltered,приютен
nuggets,хапки
selective,селективен
raced,състезаваха се
brittle,крехък
Gyeon,Гьон
predictions,прогнози
hysterically,истерично
Mathis,Матис
telepathy,телепатия
tutoring,уроци
heartbreaking,сърцераздирателен
Petrov,Петров
attendants,придружители
superpowers,суперсили
teleport,телепортирам
demolished,съборени
inhaler,инхалатор
chrome,хром
Emilie,Емили
Keiko,Кейко
Clarissa,Клариса
auditioning,прослушване
scrubs,ексфолианти
disapprove,неодобрявам
abruptly,рязко
whirlwind,вихрушка
clicked,щракна
ther,терм
vat,ДДС
complexity,сложност
unanswered,без отговор
tallest,най-висок
hyena,хиена
Bertram,Бертрам
seizing,захващане
Claudette,Клодет
Hubble,Хъбъл
groves,горички
Rosita,Росита
scrolls,свитъци
bleedin,кървя
tarp,брезент
rushes,бърза
sous,су
Cate,Кейт
dependable,надежден
bale,бала
boca,бока
Fredo,Фредо
Ronon,Ронон
punctured,пробити
afro,афро
pretzels,гевреци
sunbae,sunbae
Radcliffe,Радклиф
briefs,слипове
positioned,позициониран
ridiculously,абсурдно
nigh,близо
financed,финансиран
thaw,размразяване
underdog,аутсайдер
noona,нона
Neelix,Нийликс
aqua,аква
Tigger,Тигър
O'Brian,О'Брайън
Kaylee,Кейли
adrift,по течението
Sheffield,Шефилд
profiling,профилиране
trough,корито
refinery,рафинерия
Meeks,Мийкс
Templeton,Темпълтън
stripe,ивица
forefathers,предци
intending,възнамеряващ
Malaysia,Малайзия
grit,песъчинки
homosexuality,хомосексуалността
bri,бри
taker,вземащ
A.D.,от н.е.
sprouts,кълнове
Ignacio,Игнасио
revival,възраждане
Johannes,Йоханес
Moretti,Морети
shrewd,проницателен
translates,превежда
scrabble,драскане
bowler,играч на боулинг
scariest,най-страшен
Socrates,Сократ
ani,ани
clinics,клиники
Luka,Лука
polluted,замърсени
strangler,удушвач
realization,реализация
vee,вие
peeling,пилинг
Beowulf,Беоулф
faintest,най-слабият
Madden,Мадън
Shapiro,Шапиро
cartridge,патрон
prosecuting,преследване
bubbly,мехурчеста
campsite,къмпинг
aorta,аорта
adopting,осиновяване
liter,литър
Fawlty,Fawlty
shrunk,свива се
Rao,Рао
Dempsey,Демпси
proverb,поговорка
Miyagi,Мияги
donating,даряване
Toretto,Торето
schnapps,шнапс
hispanic,испанец
calms,успокоява
Weller,Уелър
unbreakable,нечуплива
Devi,Деви
Alden,Олдън
rapes,изнасилвания
insubordination,неподчинение
britches,бричове
sumo,сумо
leaps,скокове
resurrected,възкръснал
heresy,ерес
McCabe,Маккейб
scolded,скара се
monsoon,мусон
Davina,Давина
seagull,чайка
Langston,Лангстън
yearn,копнея
candlelight,свещи
Nance,Нанс
touché,touché
NYU,NYU
banzai,банзай
concur,съгласен
extending,разширяване
counselors,съветници
unavoidable,неизбежно
emery,шмиргел
shing,пръскане
alot,много
Chao,чао
def,деф
Brando,Брандо
provoking,провокиращ
Sanjana,Санджана
MALORY,MALORY
meanest,най-подъл
surreal,нереален
biologist,биолог
springtime,пролетно време
Chandra,Чандра
Darrell,Даръл
pats,потупвания
obituary,некролог
flutter,пърхане
width,ширина
bloodthirsty,кръвожаден
Fifi,Фифи
Benz,Benz
wring,изстискайте
Mitsuko,Мицуко
jolt,разтърсване
seasick,морска болест
biased,предубеден
wither,изсъхват
taels,taels
threes,тройки
epiphany,богоявление
entries,записи
moping,натъжен
pledges,обещания
sputters,бълбука
mints,монетни дворове
corroborate,потвърждавам
Jana,Яна
heightened,повишена
chalice,потир
journeys,пътувания
talkative,приказлив
dukes,войводи
orgasms,оргазми
forsake,изоставям
cloned,клониран
Merrill,Мерил
Renault,Рено
waitresses,сервитьорки
lube,лубрикант
demonstrations,демонстрации
campaigns,кампании
Bela,Бела
wholly,изцяло
Lannisters,Ланистъри
Brit,брит
wartime,военно време
scab,краста
NFL,NFL
nutrients,хранителни вещества
windmill,вятърна мелница
compliance,съответствие
downing,сваляне
beatings,побоища
hatter,шапкар
tuberculosis,туберкулоза
trivia,любопитни факти
Parkinson,Паркинсон
feces,изпражнения
quartet,квартет
Kabul,Кабул
purchasing,закупуване
problematic,проблемно
hyperdrive,хиперзадвижване
topped,гарниран
mathematician,математик
Plymouth,Плимут
homeworld,роден свят
mph,mph
uncontrollable,неконтролируема
Yamato,Ямато
commits,ангажира
Hartman,Хартман
affliction,страдание
tumour,тумор
disks,дискове
Rhys,Рис
Claudio,Клаудио
toying,играя
bureaucracy,бюрокрация
stringer,стрингер
coding,кодиране
supervised,контролиран
lore,знание
superiority,превъзходство
fanatics,фанатици
taxis,таксита
eviction,изселване
melodramatic,мелодраматичен
mono,моно
Louvre,Лувър
calming,успокояващ
Dion,Дион
butchers,касапи
SOS,SOS
hangman,палач
birthright,право по рождение
Yeung,Йънг
favorable,благоприятен
brooch,брошка
Candice,Кандис
leper,прокажен
lev,лев
riddled,надупчен
subversive,подривна
shifter,скоростен лост
civilised,цивилизован
rustle,шумолене
buttercup,лютиче
shelton,Шелтън
Aviv,Авив
bachelorette,ергенска жена
undertake,предприемам
silo,силоз
bony,костелив
iPhone,iPhone
sweetly,сладко
fingered,с пръсти
participants,участници
motivate,мотивирам
Yemen,Йемен
Haru,Хару
Spaniard,испанец
J.P.,J.P.
twos,двойки
teased,дразнеше
Pancho,Панчо
frigid,фригиден
bonkers,побъркани
pedestrian,пешеходец
diddle,играя
alibis,алиби
genome,геном
smother,задушавам
deactivated,деактивиран
plural,множествено число
gloss,гланц
fused,слят
sealing,запечатване
Buford,Бъфорд
reproduction,размножаване
sneaked,промъкнал се
compounds,съединения
mccain,маккейн
aims,цели
Chiang,Чанг
vulnerability,уязвимост
spud,пръскам
vials,флакони
pointer,показалец
dears,скъпи
Xanax,Ксанакс
ur,ур
playbook,книга с игри
attitudes,нагласи
drags,влачи
councillor,съветник
proclaimed,провъзгласен
cherie,чери
replacements,замени
selfie,селфи
UFOs,НЛО
soothe,успокояват
salesmen,търговци
rigging,такелаж
sphinx,сфинкс
pilates,пилатес
G.I.,Г.И.
sadist,садист
exploitation,експлоатация
smoky,опушен
dormitory,общежитие
avenged,отмъстен
cadaver,труп
knowingly,съзнателно
stork,щъркел
Calder,Калдър
avail,полза
moths,молци
fascism,фашизъм
luv,любов
Antoinette,Антоанета
unlocking,отключване
Kensington,Кенсингтън
She'II,Тя ще
popsicle,попсикул
shudders,тръпки
replicator,репликатор
luz,луз
nurture,подхранвам
Epstein,Епщайн
nitrate,нитрат
deduction,приспадане
rainforest,тропическа гора
vaults,трезори
forbids,забранява
gent,господин
daffy,пукав
lineage,родословие
teammate,съотборник
dries,изсъхва
conversing,разговаряйки
relativity,относителност
Middleton,Мидълтън
messengers,пратеници
portions,порции
foresee,предвиждам
intimidation,сплашване
UCLA,UCLA
"l""m",Аз съм
parry,парирам
Canterbury,Кентърбъри
keepin,Имайте
specializes,специализира
hardships,трудности
ozone,озон
Leung,Leung
geographic,географски
clothed,облечени
coordination,координация
roofs,покриви
hepatitis,хепатит
mach,мах
unhappiness,нещастие
gulls,чайки
Fusco,Фуско
sexiest,най-секси
D.N.A.,D.N.A.
robotics,роботика
FAA,FAA
stomachs,стомаси
firefighters,пожарникари
to-1,до-1
crunchy,хрупкава
unsettling,обезпокоителен
tolerant,толерантен
logging,дърводобив
discourage,обезкуражавам
crewman,член на екипажа
Pax,Пакс
ceases,престава
Anglo,англо
immaculate,безупречен
taunting,подигравка
devout,набожен
mugging,грабеж
saffron,шафран
moonshine,лунна светлина
Lyra,Лира
Dufresne,Дюфрен
cath,кат
Masha,Маша
surrendering,предаване
offenses,престъпления
Hani,Хани
Luce,Лус
depleted,изчерпани
Iggy,Иги
lacerations,разкъсвания
yapping,джафкане
archaeologist,археолог
standin,стоя
Seine,Сена
cycling,Колоездене
composite,композитен
Paulson,Полсън
Greenland,Гренландия
Geller,Гелър
beaming,сияещ
mucho,много
strangling,удушаване
"what""s","какво"""
hollering,викове
dossier,досие
lingering,проточен
mocked,подиграван
Kurtz,Курц
Lutz,Луц
Nicholson,Никълсън
executing,изпълнение
indulgence,снизхождение
sexier,по-секси
eradicate,изкоренявам
Minbari,Минбарски
minimize,минимизиране
halves,половинки
annihilate,унищожавам
Cayman,Кайман
kitchens,кухни
pacing,темпото
sorcery,магьосничество
furnished,обзаведена
poaching,бракониерство
busts,бюстове
housework,домакинска работа
flier,летец
daycare,детска градина
kimchi,кимчи
Bashir,Башир
vanguard,авангард
guitars,китари
summertime,лятно време
marches,маршове
Ito,Ито
Parkman,Паркман
hives,копривна треска
borough,квартал
pap,пап
Rutledge,Рътлидж
Yaah,дааа
slaying,убиване
Rhea,Рея
cavalier,кавалер
Bernice,Бернис
roadside,крайпътен
Nigeria,Нигерия
Decepticons,Десептикони
sharper,по-остър
zeros,нули
nicknames,прякори
visas,визи
databases,бази данни
dusted,почистена от прах
Watergate,Уотъргейт
peralta,пералта
impending,предстоящо
decrease,намаляване
Bonsoir,Бонсоар
kryptonian,криптонов
roaches,хлебарки
illicit,незаконен
negatives,негативи
rigor,строгост
upstanding,изправен
manifesto,манифест
hem,подгъв
hijacking,отвличане
prognosis,прогноза
vinyl,винил
Jennie,Джени
Aki,Аки
mistletoe,имел
od,од
alchemy,алхимия
tract,тракт
hailed,приветстван
hanger,закачалка
proceeded,продължи
maman,маман
subsequent,последващи
fetching,извличане
projecting,проектиране
firefly,светулка
tantrum,истерика
reckoned,преценено
retained,запазени
plump,пълничка
gowns,рокли
Nik,Ник
toasted,препечени
occurrence,възникване
Starsky,Старски
pom,пом
boned,обезкостен
embryo,ембрион
dusting,почистване на прах
puzzled,озадачен
trippin,спъвам се
slots,слотове
barricades,барикади
Blackwood,Черно дърво
Iooking,гледам
Brigitte,Брижит
highways,магистрали
finesse,финост
Branson,Брансън
independently,независимо
Santino,Сантино
novice,новак
Bosch,Bosch
slid,плъзгаше се
foes,врагове
coarse,груби
dictates,диктува
nai,най
dumpling,кнедли
smeared,намазан
ravishing,възхитителен
Daria,Дария
holographic,холографски
Rolf,Ролф
Meryl,Мерил
Samuels,Самуелс
armada,армада
slurps,сърба
Artemis,Артемида
disrupted,нарушено
Francie,Франси
premeditated,предумишлено
factions,фракции
optimist,оптимист
architects,архитекти
sory,Съжалявам
divulge,разкривам
Lindbergh,Линдберг
alleys,алеи
lobsters,омари
louse,въшка
Alrighty,Добре
routines,съчетания
Augie,Оги
maw,паст
gills,хрилете
mats,изтривалки
regeneration,регенерация
dispense,разпределете
impolite,неучтив
woulda,бих
Corbett,Корбет
Bristow,Бристоу
clergy,духовенство
counties,окръзи
changer,чейнджър
millennia,хилядолетия
gunny,пушка
nailing,заковаване
foolproof,безупречен
Wilkinson,Уилкинсън
Georg,Георг
fullest,най-пълен
eulogy,хвалебствено слово
Lyndsey,Линдзи
Barksdale,Барксдейл
imaginable,въобразим
raisin,стафиди
starry,звезден
sinus,синусите
harming,вредящ
Cabot,Кабот
squawk,крякам
arkham,аркхам
ingenuity,изобретателност
annex,приложение
dizziness,световъртеж
throbbing,пулсираща
Orpheus,Орфей
bluebird,синя птица
lithium,литий
submerged,потопени
elvish,елфически
stout,як
locomotive,локомотив
Maj,майор
reciting,рецитиране
godless,безбожен
Irishman,ирландец
categories,категории
Tibetan,тибетски
bins,кошчета
parvati,Парвати
petit,петит
brewer,пивовар
Broyles,Бройлс
birthplace,място на раждане
Krieger,Кригер
vocation,призвание
takers,поемачи
Therese,Терез
cuss,псувня
oye,ойе
cabal,кабала
Skype,Skype
gnome,гном
Hobson,Хобсън
fruity,плодов
Anwar,Ануар
logistics,логистиката
hibernation,хибернация
turnip,ряпа
truffles,трюфели
Apophis,Апофис
insistent,настоятелен
diablo,диабло
lesions,лезии
articulate,артикулиран
rapids,бързеи
tremendously,невероятно
Sumner,Съмнър
prompt,подкана
follower,последовател
Anson,Ансън
supervising,надзор
Rudi,Руди
fundamentally,фундаментално
mun,мун
deluded,заблуден
prenup,предбрачен
crept,пропълзя
appliances,уреди
paved,павирана
cabinets,шкафове
debriefing,дебрифинг
eminent,виден
delights,изкушения
limping,накуцвайки
termites,термити
Frida,Фрида
fingernail,нокът на пръста
unclean,нечисти
Koran,Коран
uphill,нагоре
putt,удар
cauldron,котел
Elwood,Елууд
nests,гнезда
PTA,PTA
